X,Y,FID,Title,Type,Address,Latitude,Longitude,Artist_Last_,Artist_First,Additional_Artists,Media,Year_Created,Year_Erected,TNT_Area,Neighborhood,Specific_Location,Image_Url
-76.14775,43.0470760000001,1,The Grazers,Sculpture,317 East Jefferson St,43.047076,-76.14775,Reid IV,Leon,,"Parking  meters, steel, enamel, anchor bolts",2007,2007,Downtown,Columbus Circle,On sidewalk,https://www.syr.gov/files/sharedassets/public/1-boards-and-commissions/spac/public-art-images/grazers_leon-reid_2007.jpg
-76.1795999999999,43.0482920000001,2,Taras H. Shevchenko,Monument,198 South Wilbur Ave,43.048292,-76.1796,Benedict,Dexter,~,,,,Westside,Tipperary Hill,On an island at the intersection of West Fayette Street and Wilbur and Tennyson Avenues,
-76.185513,43.046728,3,Stone Throwers Monument,Monument,Milton Ave & Tompkins Ave,43.046728,-76.185513,Benedict,Dexter,~,,,,Westside,Tipperary Hill,Stone Throwers Park,
-76.151894,43.0517990000001,4,Clinton Serenade,Mural,126 South Salina Street,43.051799,-76.151894,Goss,Corky,Chip Miller,Acrylic on Stucco,2009,2009,Downtown,Clinton Square (near),On the side of First Niagra Bank (above the drive thru),https://www.syr.gov/files/sharedassets/public/1-boards-and-commissions/spac/public-art-images/moonlight-serenade_goss-and-miller_2009.jpg
-76.1506459999999,43.045603,5,Onondaga County Korea–Vietnam Veterans Memorial,Monument,232 East Onondaga St,43.045603,-76.150646,Kane,Kevin L.,,Polished red granite and aluminum,,1984,Downtown,Columbus Circle,Directly in Front of Plymouth Congregational Church,
-76.162312,43.070187,6,LeMoyne Drinking Fountain,Monument,232 Washington Sq,43.070187,-76.162312,Corbett,Gail Sherman,,Bronze and Granite,,1908,Northside,Near Northeast,Washington Square Park,https://www.syr.gov/files/sharedassets/public/1-boards-and-commissions/spac/public-art-images/lemoyne-drinking-fountain_gail-corbett_1908.jpg
-76.149104,43.0468440000001,7,Cristoforo Colombo Discoverer of America,Monument,259 East Onondaga St,43.046844,-76.149104,Baldi,Lorenzo V.,,"Bronze, Pink Granite, Dark Grey Granite, Stone Cobbles and Cast Stone",,1934,Downtown,Columbus Circle,,
-76.151855,43.056447,8,General Gustavus Sniper ,Monument,426 North Salina St,43.056447,-76.151855,Moynihan,Frederick,,Bronze and Granite,,1905,Northside,Little Italy,in Schlosser Park,
-76.1511389999999,43.0425260000001,9,Rock of the Marne,Monument,760 South Warren St,43.042526,-76.151139,Perry,Roland Hinton,,"Bronze, Pink Granite and Concrete",,1920,Southside,Gateway,Billings Park,
-76.1510289999999,43.0419610000001,10,Spanish War Memorial,Monument,764 South Warren St,43.041961,-76.151029,Ruggles Kitson,Theodore Alice,,Bronze and Granite,,1924,Southside,Southwest,Billings Park,
-76.1533269999999,43.050729,11,Jerry Rescue Monument,Monument,"Clinton Square (between Water, Clinton and Salina Streets downtown)",43.050729,-76.153327,BuMann,Sharon,,Everdure bronze with patina,,1990,Downtown,Clinton Square,West end of Clinton Square,
-76.147506,43.034322,12,Libba Cotten Grove Memorial,Sculpture,East Castle St and South State St,43.034322,-76.147506,,,,,,1983,Southside,Gateway,In the park at the corner of Castle and State Streets,
-76.1465009999999,43.0483390000001,13,Philip Eckel Memorial,Monument,"East Genesee St, East Fayette St, and South Townsend St",43.048339,-76.146501,Carrick Brothers,,,Westerly Granite and Barre Granite,,1900,Downtown,Downtown,Fayette Firefighters Memorial Park,
-76.146779,43.0483410000001,14,Fireman's Bell Tower,Monument,"East Genesee St, East Fayette St, and South Townsend St",43.048341,-76.146779,,,"Foundry of Bronze Bell: Menely, Troy, NY","Steel; Bronze",,1979,Downtown,Downtown,Fayette Firefighters Memorial Park,
-76.1471299999999,43.04835,15,Hamilton White Memorial,Monument,"East Genesee St, East Fayette St, and South Townsend St",43.04835,-76.14713,Corbett,Gail Sherman,,"Bronze; Pink Granite Base",1900,1905,Downtown,Downtown,Fayette Firefighters Memorial Park,
-76.1471299999999,43.0483320000001,16,"Collins Block Memorial - ""Firemen's Memorial""",Monument,"East Genesee St, East Fayette St, and South Townsend St",43.048332,-76.14713,Cowie,William,,Granite ,,1939,Downtown,Downtown,Fayette Firefighters Memorial Park,
-76.141848,43.0471830000001,17,Redfield Monument ,Sculpture,Forman Park,43.047183,-76.141848,Landi,Fidardo,,Bronze sculpture,,1908,Eastside,Eastside,"Forman Park; west edge of park at Almond St",
-76.15683,43.0570960000001,18,Benjamin Franklin Statue,Monument,Franklin Square Park,43.057096,-76.15683,Benedict,,,"Polished Granite Veneer; Bronze and Brick Pavers",,1989,Lakefront,Franklin Square,East Side of Franklin Square,
-76.152937,43.051094,19,Soldiers and Sailors Monument,Sculpture,"Clinton Square (between Water, Clinton and Salina Streets downtown)",43.051094,-76.152937,Dallin,Cyrus,~,Bronze and Connecticut White Granite,1909,1910,Downtown,Clinton Square,North side of Clinton Square,
-76.1416159999999,43.069573,20,Goethe and Schiller,Monument,Highland St and Butternut St,43.069573,-76.141616,Friederich,Ernest,August Rietschel,"Bronze; Polished Gray Granite",,1911,Northside,Northside,Skylar Park,
-76.150671,43.045599,21,Italian-American War Veterans,Monument,North Salina St and Danforth St,43.045599,-76.150671,Pederson,Thorvald,~,"Indiana Limestone, Brick, Recessed wood panels, Glass panel covers and Bronze ",,1946,Northside,Northside,In the middle of Bennett Park,
-76.1624929,43.0412303000001,22,Four Seasons,Mosaic,229 Shonnard Street,43.0412303,-76.1624929,Zook,Eva,"Mark Topp, Megan Connor and students",,2000,2001,Westside,Near Westside,East end of Ward Bakery Park,
-76.12441,43.0427330000001,23,Park History,Mural,Thornden Park Dr and Greenwood Pl,43.042733,-76.12441,Topp,Mark,Thornden Park Association,Painted on Cement,,2005,Eastside,Westcott,Thornden Park Public Pool,
-76.1501009999999,43.04967,24,Tectonic Sculpture 01 (The Hand),Sculpture,City Hall Commons,43.04967,-76.150101,Rose,Brendan,,"Concrete, steel, wood",2008,2008,Downtown,Downtown,East side of City Hall Commons,https://www.syr.gov/files/sharedassets/public/1-boards-and-commissions/spac/public-art-images/tectonic-sculpture-01_roste_2008.jpg
-76.150608,43.0485190000001,25,O1101,Sculpture,Lemp Park,43.048519,-76.150608,Taskale,Tash,,Steel,2009,2009,Downtown,Downtown,Corner of W. Fayette & S. Warren Streets,
-76.162281,43.041182,26,Rising,Sculpture,Finnegan Park,43.041182,-76.162281,Earle,Dennis,,"Steel, concrete ",201,2011,Northside,Hawley-Green,"Lodi & Hawley, southern tip of park",
-76.187373,43.0525890000001,27,Westside Geomatic,Sculpture,Hazard Branch Library,43.052589,-76.187373,Smith,James  Earle,,"Steel, aluminum, fiberglass, limeston",2010,2010,Westside,Westside,Plaza in front of library,
-76.11844,43.0408870000001,28,Peace by Piece ,Mural,105 Victoria Place (Petit Library),43.040887,-76.11844,Cofer,Annette,Mary Lynn Mahan,Ceramic,2010,2011,Eastside,Westcott,East-facing wall of Petit Branch Library,
-76.16935,43.0464690000001,29,Tectonic Sculpture 03 (Walt: The Lock Ness Monster),Sculpture,W. Fayette St at Onondaga Creek,43.046469,-76.16935,Rose,Brendan,,"Concrete, steel, wood",2011,2011,Downtown,Armory Square,Onondaga Creekwalk,
-76.1524237,43.0011259,30,Honoring the Onondaga Creek,Sculpture,Meachum Field Park,43.0011259,-76.1524237,Michel,Peter,,Aluminum,2011,2011,Valley,Valley,"Northwest corner of Meachum Field Park, W. Seneca Turnpike at Onondaga Creek",
-76.117522,43.0575830000001,31,Cycle,Sculpture,"Henninger High School, 600 Robinson Street",43.057583,-76.117522,Roth,Jason,,Steel and ceramic,2011,2011,Eastwood,Eastwood,West side of campus ,
-76.147903,43.0011400000001,32,Community as Family,Sculpture,"Beauchamp Branch Library, 2111 S Salina Street",43.00114,-76.147903,Michel,Peter,,Aluminum,2010,2010,Southside,Southside,"West of main entrance to library; in front lawn area",
-76.141262,43.047149,33,SyraViews Stereoscopes,Sculpture,Forman Park,43.047149,-76.141262,Woolpert,Colleen,,Steel,2012,2012,Eastside,East Genesee,Westside of fountain circle in Forman Park,
-76.1344789999999,43.0457060000001,34,Bells of Surrender,Sculpture,412 University Avenue ,43.045706,-76.134479,Rose,Brendan,,Steel and Concrete,2012,2012,Eastside,University,412 University Avenue in front of Grace Church's memorial garden,
-76.1570399999999,43.048911,35,Let Us Continue,Mural,Onondaga Creek Walk,43.048911,-76.15704,Fletchall,Quinton,Nathan Li,Acrylic boards,2014,2014,Downtown,"Armory Square, Creek Walk",East facing wall between the SU Warehouse and Marriott Hotel garage,
-76.1571479999999,43.048891,36,Current,Sculpture,Onondaga Creek Walk,43.048891,-76.157148,Hancock,Blessing,,Stainless steel,2016,2017,Downtown,Armory Square,Onondaga Creek between Warehouse and Marriott Hotel Parking garage,
-76.149032,43.0446260000001,37,DecoRated Wall,Mural,235 Harrison Street,43.044626,-76.149032,Meyer,Mike,,Auto paint on steel panels,2017,2017,Downtown,Downtown,AXA Parking Garage curved wall facing Montgomery St,
-76.14676,43.0479320000001,38,Mighty Salt City,Mural,420 E. Genesee Street,43.047932,-76.14676,Valenzuela,Cayetano,,Acrylic,2016,2016,Downtown,Downtown,West façade of 420 E. Genesee St,
-76.147016,43.053341,39,Rose of No Man's Land,Mural,457 James Street,43.053341,-76.147016,Roe ,Paul,Elliott Mattice,Acrylic,2016,2016,Downtown,Downtown,East façade of 457 James Street,
-76.145404,43.047782,40,Immersive Cloud,Sculpture,500 E. Genesee Street,43.047782,-76.145404,Park,Daekwon ,,Galvanized and stainless steel,2017,2017,Downtown,Downtown,SE Corner of Townsend and E. Genesee Street,
-76.1418889999999,43.0468710000001,41,Syracuse Writers,Sculpture,700 block E. Genesee Street,43.046871,-76.141889,Sisko,Joseph,,Aluminum panels,2019,,Eastside,Eastside,"Along city-owned fence, south side of E. Genesee St across from Forman Park",
-76.15703,43.0491850000001,42,Erie Canal Themed Poster,Mural,346 W. Fayette Street,43.049185,-76.15703,Grant,Alexandra,Shari Hemsley (poet),4x6 laminated Omegabond panel,,,Downtown,Downtown,Creekwalk between W. Washington and W. Fayette streets,
-76.1393879999999,43.047086,43,Inventive Spirit,Sculpture,800 block E Geness St,43.047086,-76.139388,Ferro,Tino,,Steel ,2021,2022,Eastside ,Eastside,,
-76.157268,43.055394,44,Onondaga Creekwalk Poster,Mural,Creekwalk (Franklin Square),43.055394,-76.157268,Thomas,Cecily,Jeffrey Corney (poet),4x6 laminated Omegabond panel,2022,2022,Franklin Square,Franklin Square,on concrete sidewall of ramp leading up to Franklin Square from Creekwalk,
-76.138537,43.0657380000001,45,Project C-Inspiration Through Art,Mural,Schiller Park Community Center ,43.065738,-76.138537,Walker ,Ally ,,,2022,2022,Northside,Northside,3 sides of the center,
-76.147329,43.0461780000001,46,Palladium,Monument,555 South State St,43.046178,-76.147329,Lunt,Mary Lou,~,,,2002,Downtown,Municipal District,In front of the Onondaga County Justice Center,
-76.155051,43.0499,47,"One, Two, Three",Sculpture,100 South Clinton St,43.0499,-76.155051,Lewitt,Sol,~,Painted Aluminum,,1979,Downtown,Downtown,James M. Hanley US Courthouse and Federal Building,
-76.123888,43.047337,48,Jerry Rescue Mural,Mural,1641 E Genesee St,43.047337,-76.123888,~,,Community Members assisted,,,,Eastside,Near Eastside,"On Richmark Building, opposite corner from Logan Park",
-76.165307,43.0268550000001,49,Mountain Goat Monument,Sculpture,Onondaga Park,43.026855,-76.165307,BuMann,Sharon,,Bronze & Stone,2015,2017,Southside,Strathmore,Little Round Top,
-76.149301,43.0462900000001,50,East Onondaga Mural,Mural,262 East Onondaga St,43.04629,-76.149301,Matlow,Andy,Syracuse Art Squad,,,,Downtown,Columbus Circle,South of Columbus Circle on east facing wall of the Cathedral Parish Center,
-76.1560919999999,43.051069,51,Spirit of Light,Sculpture,300 Erie Blvd West,43.051069,-76.156092,King,Marvin L.,Bley & Lyman Architectural Firm,Stainless Steel,1932,1932,Downtown,Downtown,,
-76.145877,43.0476160000001,52,Untitled Sculpture,Sculpture,444 East Genesee St,43.047616,-76.145877,Calcagnino,Steven,~,Concrete,,1975,Downtown,Municipal District,On the McCarthy Avenue side of the building at 444 East Genesee Street,
-76.1412129999999,43.0518940000001,53,Waiting for the Night Train,Sculpture,400 Burnet Ave,43.051894,-76.141213,Epolito,Duke,Larry Zankowski,"Plaster, Polyurethane, Fiberglass",,1982,Eastside,Near Eastside,"Old railroad tracks off Erie Blvd, where Time Warner Cable, News 10 Now is located ",
-76.1490009999999,43.0510120000001,54,Burrow Boy,Monument,301-31 Erie Blvd East,43.051012,-76.149001,Tischler,Tom,,Onondaga Limestone and Bronze,,1987,Downtown,Hanover Square,Across from the Erie Canal Museum,
-76.119466,43.040378,55,Community Mural,Mural,South Beech St and Westcott St,43.040378,-76.119466,Moody,Michael,,Paint on Cement,,1997,Eastside,Westcott,At corner of Beech and Westcott Streets,
